contracts_id,contracts_dateEnd,contracts_image,contracts_name,contracts_shortName,contracts_status,contracts_lastTradePrice,contracts_bestBuyYesCost,contracts_bestBuyNoCost,contracts_bestSellYesCost,contracts_bestSellNoCost,contracts_lastClosePrice,contracts_displayOrder,id
23546,NA,https://az620379.vo.msecnd.net/images/Contracts/small_2482e38e-80aa-4ff0-b1e2-9c29a0f100bc.png,Republican,Republican,Open,0.67,0.67,0.34,0.66,0.33,0.66,0,6867
23547,NA,https://az620379.vo.msecnd.net/images/Contracts/small_dc2c8290-c5d5-4561-8c1a-31762c3972bb.png,Democratic,Democratic,Open,0.37,0.38,0.63,0.37,0.62,0.37,0,6867
23545,NA,https://az620379.vo.msecnd.net/images/Contracts/small_9d46f92f-fc2d-406a-ade9-8cf2eb41e64e.png,Libertarian,Libertarian,Open,0.01,0.01,,,0.99,0.01,0,6867
23548,NA,https://az620379.vo.msecnd.net/images/Contracts/small_5a27f11b-6e7e-4dd6-9d6b-48dafd96b436.png,Green,Green,Open,0.01,0.01,,,0.99,0.01,0,6867
24594,NA,https://az620379.vo.msecnd.net/images/Contracts/small_5ea99b02-9413-4222-aaec-823a2a2de73a.jpg,Will a woman be elected U.S. president in 2024?,Woman president in 2024?,Open,0.14,0.15,0.86,0.14,0.85,0.2,0,7013
24787,NA,https://az620379.vo.msecnd.net/images/Contracts/small_36231f71-30ba-47c1-8f5d-c7481e014c11.jpg,Donald Trump,Trump,Open,0.98,0.98,0.03,0.97,0.02,0.97,0,7053
24782,NA,https://az620379.vo.msecnd.net/images/Contracts/small_20003de6-fa6b-4fb5-82be-aba2bc8c02f9.jpg,Nikki Haley,Haley,Open,0.01,0.02,0.99,0.01,0.98,0.02,0,7053
24783,NA,https://az620379.vo.msecnd.net/images/Contracts/small_58b5f881-b587-4333-880b-024bc39922e8.jpg,Mike Pompeo,Pompeo,Open,0.01,0.01,,,0.99,0.01,0,7053
24784,NA,https://az620379.vo.msecnd.net/images/Contracts/small_bbfdd2ed-95d5-43a3-bf5d-2403503705b0.jpg,Mitt Romney,Romney,Open,0.01,0.01,,,0.99,0.01,0,7053
24785,NA,https://az620379.vo.msecnd.net/images/Contracts/small_405ebd48-c0d6-45ba-896d-d5cc56b464b9.jpg,Ted Cruz,Cruz,Open,0.01,0.01,,,0.99,0.01,0,7053
24786,NA,https://az620379.vo.msecnd.net/images/Contracts/small_851a6d14-5083-4680-91f6-419ec2d02a14.jpg,Tucker Carlson,Carlson,Open,0.01,0.01,,,0.99,0.01,0,7053
24788,NA,https://az620379.vo.msecnd.net/images/Contracts/small_9fbc3103-49b8-4f93-a1ce-79ff5fe31957.jpg,Tom Cotton,Cotton,Open,0.01,0.01,,,0.99,0.01,0,7053
24789,NA,https://az620379.vo.msecnd.net/images/Contracts/small_3074a2e1-9027-4c1c-a50f-18db9c0a9bd4.jpg,Mike Pence,Pence,Open,0.01,0.01,,,0.99,0.01,0,7053
24790,NA,https://az620379.vo.msecnd.net/images/Contracts/small_2badfab5-24b6-4e6d-8988-19c135639222.jpg,Donald Trump Jr.,Trump Jr.,Open,0.01,0.01,,,0.99,0.01,0,7053
24791,NA,https://az620379.vo.msecnd.net/images/Contracts/small_e3e5d1e1-db5f-4379-bf5b-af47e874e943.jpg,Marco Rubio,Rubio,Open,0.01,0.01,,,0.99,0.01,0,7053
24792,NA,https://az620379.vo.msecnd.net/images/Contracts/small_683be142-e62f-4597-bc39-00fb2e2cb373.jpg,Josh Hawley,Hawley,Open,0.01,0.01,,,0.99,0.01,0,7053
24793,NA,https://az620379.vo.msecnd.net/images/Contracts/small_958885c8-c04c-4ad3-b64e-fe33e9af83cc.jpg,Tim Scott,T. Scott,Open,0.01,0.01,,,0.99,0.01,0,7053
24794,NA,https://az620379.vo.msecnd.net/images/Contracts/small_e3ff1357-c8f6-4498-a5d6-12580eca75b7.jpg,Rick Scott,R. Scott,Open,0.01,0.01,,,0.99,0.01,0,7053
24813,NA,https://az620379.vo.msecnd.net/images/Contracts/small_8d271559-d751-448d-bacb-1a209e714bd4.png,Larry Hogan,Hogan,Open,0.01,0.01,,,0.99,0.01,0,7053
24814,NA,https://az620379.vo.msecnd.net/images/Contracts/small_1d8cb077-b0ce-456e-aadc-57fc4d88dcd7.png,Ron DeSantis,DeSantis,Open,0.01,0.01,,,0.99,0.01,0,7053
24815,NA,https://az620379.vo.msecnd.net/images/Contracts/small_4b2b5732-b84d-4ac6-b7da-9d3790c691e0.png,Kristi Noem,Noem,Open,0.01,0.01,,,0.99,0.01,0,7053
28287,NA,https://az620379.vo.msecnd.net/images/Contracts/small_97751cff-caca-40c3-8d44-2aa9c672832c.png,Glenn Youngkin,Youngkin,Open,0.01,0.01,,,0.99,0.01,0,7053
31225,NA,https://az620379.vo.msecnd.net/images/Contracts/small_88c5c8fe-3175-4907-9375-0f63071d1aab.png,Vivek Ramaswamy,Ramaswamy,Open,0.01,0.01,,,0.99,0.01,0,7053
31227,NA,https://az620379.vo.msecnd.net/images/Contracts/small_daed4025-7406-4a1d-855a-cd4d2e604229.png,Asa Hutchinson,Hutchinson,Open,0.01,0.01,,,0.99,0.01,0,7053
31239,NA,https://az620379.vo.msecnd.net/images/Contracts/small_ff3ea0a7-aad9-41f6-93a4-ba0f9d079cdd.png,Chris Christie,Christie,Open,0.01,0.01,,,0.99,0.01,0,7053
31317,NA,https://az620379.vo.msecnd.net/images/Contracts/small_45d04cac-bda3-42c8-974b-57d39be45d39.png,Doug Burgum,Burgum,Open,0.01,0.01,,,0.99,0.01,0,7053
24807,NA,https://az620379.vo.msecnd.net/images/Contracts/small_4c64890a-503c-454c-b02e-732319f1459f.jpg,Joe Biden,Biden,Open,0.74,0.73,0.28,0.72,0.27,0.58,0,7057
24808,NA,https://az620379.vo.msecnd.net/images/Contracts/small_42e624ca-be5f-4c3e-8939-86bb42b0314d.jpg,Kamala Harris,Harris,Open,0.21,0.22,0.79,0.21,0.78,0.29,0,7057
